symbol,mean,stdev,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
IGL,0.2,7.56,-79.93,-3.13,-2.14,-1.67,-1.35,-1.08,-0.82,-0.6,-0.38,-0.17,0.0,0.17,0.36,0.57,0.82,1.09,1.41,1.87,2.49,3.79,397.6
INDIGO,0.12,2.66,-19.16,-3.6,-2.47,-1.87,-1.47,-1.17,-0.84,-0.57,-0.37,-0.18,0.04,0.22,0.48,0.66,0.88,1.21,1.6,2.18,3.16,4.56,12.22
LUPIN,0.17,3.01,-48.98,-3.08,-2.25,-1.74,-1.38,-1.07,-0.82,-0.56,-0.37,-0.15,0.01,0.21,0.44,0.66,0.9,1.17,1.56,2.02,2.59,3.85,100.73
MARICO,0.17,2.1,-15.7,-2.58,-1.8,-1.4,-1.1,-0.88,-0.66,-0.45,-0.27,-0.12,0.02,0.2,0.36,0.53,0.76,1.05,1.33,1.79,2.28,3.24,29.35
MCDOWELL-N,0.12,2.22,-10.66,-3.08,-2.36,-1.89,-1.52,-1.2,-0.94,-0.68,-0.47,-0.23,-0.03,0.14,0.41,0.69,0.94,1.25,1.61,2.09,2.83,3.9,17.52
MOTHERSUMI,0.15,2.82,-23.06,-3.58,-2.55,-2.0,-1.59,-1.25,-1.01,-0.76,-0.44,-0.17,0.0,0.08,0.41,0.75,1.05,1.33,1.76,2.35,3.03,4.32,20.07
MUTHOOTFIN,0.1,2.58,-13.5,-3.36,-2.51,-1.93,-1.55,-1.24,-0.98,-0.74,-0.5,-0.28,-0.11,0.1,0.31,0.53,0.8,1.11,1.63,2.15,2.92,4.2,19.96
NAUKRI,0.16,2.47,-15.26,-3.28,-2.49,-1.83,-1.48,-1.18,-0.91,-0.64,-0.42,-0.2,0.0,0.17,0.35,0.63,0.93,1.2,1.63,2.2,3.04,4.4,20.01
NMDC,0.0,2.54,-13.27,-3.96,-2.91,-2.15,-1.62,-1.28,-1.02,-0.73,-0.48,-0.27,-0.07,0.14,0.35,0.59,0.85,1.19,1.61,2.1,2.79,4.36,19.97
OFSS,0.12,2.3,-14.14,-3.04,-2.09,-1.62,-1.25,-0.95,-0.72,-0.52,-0.35,-0.17,-0.01,0.15,0.32,0.5,0.73,1.01,1.35,1.81,2.52,3.77,21.63
